time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448700000	19.8324	15.1771	4.81891	1.90492	0.537725	lidar	1.99959	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7027	15.3873	4.78673	1.9733	0.609034	radar	8.41645	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6722	15.5774	4.71492	1.98214	0.589041	lidar	3.34563	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5779	15.782	4.69949	2.01029	0.586907	radar	1.30815	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4739	15.9965	4.7051	2.03969	0.58688	lidar	0.00991181	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3715	16.2039	4.70501	2.0591	0.56752	radar	1.71344	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2616	16.3823	4.66351	2.08901	0.569602	lidar	0.699106	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1438	16.5787	4.65619	2.11915	0.57307	radar	0.280505	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0127	16.7894	4.68035	2.14843	0.573331	lidar	0.146106	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8568	16.9824	4.69099	2.20284	0.620391	radar	6.82556	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.683	17.2184	4.78196	2.23739	0.622456	lidar	1.87047	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5783	17.4207	4.76822	2.23036	0.558383	radar	5.86164	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.364	17.6129	4.82932	2.27748	0.5758	lidar	3.95257	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2275	17.8029	4.82092	2.28489	0.538343	radar	2.5415	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0938	17.9884	4.80482	2.30301	0.530216	lidar	0.892203	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9191	18.1444	4.78983	2.3431	0.551852	radar	1.84857	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7866	18.2867	4.72176	2.36545	0.547847	lidar	1.06777	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6533	18.4672	4.70595	2.37405	0.523584	radar	6.75869	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4574	18.6483	4.7543	2.40268	0.525243	lidar	0.5028	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2776	18.7902	4.73856	2.43558	0.535352	radar	1.68769	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1153	18.9264	4.70035	2.46051	0.534109	lidar	0.316939	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9481	19.0964	4.70792	2.47325	0.515383	radar	3.14431	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7307	19.2121	4.71067	2.51317	0.528769	lidar	2.65136	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5408	19.3657	4.72825	2.53599	0.526895	radar	3.23829	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.315	19.5266	4.79286	2.562	0.525703	lidar	0.880384	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0929	19.6112	4.77431	2.60934	0.55304	radar	9.99519	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8871	19.755	4.79831	2.62995	0.546031	lidar	0.78577	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6985	19.8782	4.76836	2.63853	0.512546	radar	3.3415	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4669	20.0307	4.83286	2.65734	0.505132	lidar	1.395	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2556	20.1726	4.85432	2.6691	0.486946	radar	5.80367	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0662	20.303	4.8393	2.68181	0.476171	lidar	1.93644	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8364	20.387	4.83872	2.71638	0.489965	radar	2.02484	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6202	20.5055	4.85004	2.73369	0.483042	lidar	0.678879	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3837	20.594	4.86896	2.76675	0.498637	radar	1.21105	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1374	20.6685	4.88474	2.79817	0.504547	lidar	0.692364	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9002	20.7409	4.89452	2.83119	0.518468	radar	0.369921	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6264	20.8056	4.94376	2.86486	0.525095	lidar	1.69698	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3772	20.8386	4.95435	2.91355	0.562069	radar	2.56374	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1319	20.8809	4.95221	2.94531	0.565554	lidar	0.171943	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8988	20.939	4.94569	2.96807	0.560292	radar	1.74459	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7002	20.9831	4.88397	2.99016	0.555816	lidar	1.94793	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4462	21.0239	4.90976	3.01857	0.55879	radar	2.58389	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2003	21.0616	4.91817	3.04303	0.555311	lidar	0.1285	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9604	21.0818	4.91774	3.07391	0.562933	radar	1.01314	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7185	21.0538	4.89471	3.11581	0.576555	lidar	1.98314	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4698	21.0408	4.89751	3.15144	0.584757	radar	1.13152	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
